"filename", "language", "JSON", "PowerShell", "YAML", "Markdown", "Batch", "Go", "Go Checksum File", "JSON with Comments", "Go Module File", "TypeScript", "XML", "Shell Script", "vue", "Objective-C", "HTML", "PostCSS", "Java Properties", "Gradle", "Java", "comment", "blank", "total"
"f:\WorkSpace\Go\Test\CryptoWitch\frontend\src\main.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"f:\WorkSpace\Go\Test\CryptoWitch\frontend\src\types\katex-auto-render.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 20
"f:\WorkSpace\Go\Test\CryptoWitch\frontend\src\types\vault.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 37
"f:\WorkSpace\Go\Test\CryptoWitch\frontend\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"f:\WorkSpace\Go\Test\CryptoWitch\frontend\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20
"f:\WorkSpace\Go\Test\CryptoWitch\frontend\vite.config.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 14
"f:\WorkSpace\Go\Test\CryptoWitch\go.mod", "Go Module File", 0, 0, 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 56
"f:\WorkSpace\Go\Test\CryptoWitch\go.sum", "Go Checksum File", 0, 0, 0, 0, 0, 0, 170, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 171
"f:\WorkSpace\Go\Test\CryptoWitch\internal\vault\crypto.go", "Go", 0, 0, 0, 0, 0, 290, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 325
"f:\WorkSpace\Go\Test\CryptoWitch\internal\vault\device.go", "Go", 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 7, 68
"f:\WorkSpace\Go\Test\CryptoWitch\internal\vault\generated.go", "Go", 0, 0, 0, 0, 0, 5170, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 5173
"f:\WorkSpace\Go\Test\CryptoWitch\internal\vault\markdown.go", "Go", 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 32
"f:\WorkSpace\Go\Test\CryptoWitch\internal\vault\service.go", "Go", 0, 0, 0, 0, 0, 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 231
"f:\WorkSpace\Go\Test\CryptoWitch\internal\vault\service_test.go", "Go", 0, 0, 0, 0, 0, 392, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 429
"f:\WorkSpace\Go\Test\CryptoWitch\internal\vault\tree.go", "Go", 0, 0, 0, 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 76
"f:\WorkSpace\Go\Test\CryptoWitch\internal\vault\tree_test.go", "Go", 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 49
"f:\WorkSpace\Go\Test\CryptoWitch\internal\vault\types.go", "Go", 0, 0, 0, 0, 0, 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 91
"f:\WorkSpace\Go\Test\CryptoWitch\main.go", "Go", 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 10, 81
"f:\WorkSpace\Go\Test\CryptoWitch\scripts\build-exe.ps1", "PowerShell", 0, 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 106
"Total", "-", 106, 86, 2115, 255, 53, 7177, 170, 19, 51, 445, 219, 78, 1186, 13, 15, 69, 10, 67, 453, 504, 1162, 14253
